"id","title","type","role_types","hub","description","commitment","commitment_type","is_paid","compensation","status","deadline","season","featured","plx_program","apply_url","learn_more_url","order","hero_image","long_description","what_youll_do","who_you_are","requirements","perks","timeline","faq","contact_email"
"story-collector","Story Collector","volunteer","community_engagement,storyteller","remote","Gather stories from DAT alumni, participants, and community members for the alumni storytelling platform and campaigns. A role for interviewers, writers, and people who love listening.","3–6 hrs/month","flexible","FALSE","Volunteer","evergreen","","","FALSE","","/apply?opp=story-collector","","3","","The alumni storytelling platform at stories.dramaticadventure.com is only as rich as the stories it holds. Story Collectors conduct short interviews with DAT alumni and participants, transcribe or summarize them, and hand them off to the Comms team for publishing. It's close listening work — and it matters.","Conduct 1–2 story interviews per month (30–45 min, video or phone)
Transcribe or summarize interview content for the editorial team
Coordinate with the Comms team on story priorities and upcoming campaign themes
Keep a simple tracking log of interviews conducted and stories submitted","A good listener first
A writer or interviewer who knows how to draw people out
Patient and warm, genuinely curious about other people's experiences","18 years or older
Comfortable conducting video or phone interviews
Basic writing or transcription ability
Reliable with deadlines","Published byline credit on DAT's storytelling platform (by arrangement)
Deep access to DAT's extraordinary global community
Writing and interview samples for your portfolio
Invitations to DAT events, salons, and convenings
Letter of reference available after consistent contribution","Rolling :: Join anytime
Story assignments :: Monthly from the Comms team","","info@dramaticadventure.com"
"event-volunteer","Event Volunteer","volunteer","general","nyc","Support DAT events in New York — front of house, hospitality, setup, and audience experience. A great way to stay connected to the work and meet the community.","Flexible (1+ events/season)","flexible","FALSE","Complimentary event tickets","evergreen","","","FALSE","","/apply?opp=event-volunteer","","4","","DAT runs 20–30 events a year in NYC — performances, salons, fundraisers, community nights, donor gatherings. Behind every one is a team of volunteers who make the room feel alive. This is the entry point for many people into DAT's wider community.

Flexible commitment — come to one event or become a regular. Most volunteers do 2–4 events a season.","Help with setup and breakdown
Greet audiences and check in ticket holders
Support hospitality — atmosphere, flow, guest experience
Help with merch and program distribution
Act as audience-experience host during shows","Friendly, reliable, and easy to be around
Comfortable on your feet for 3–4 hours
Love live performance and want to be near it","18 years or older (16+ for non-alcohol events)
NYC area
Available for at least one event per season","Complimentary tickets to the event you work
Free tickets to two other DAT events per season
Dinner with the team at quarterly volunteer nights
First look at auditions and PLX opportunities","Rolling :: Apply anytime
Onboarding :: 30-minute call within 2 weeks
First Event :: Your choice","","events@dramaticadventure.com"
"grant-research-volunteer","Grant Research Volunteer","volunteer","development,general","remote","Identify new grant and funding opportunities for DAT. Research foundations, government programs, and corporate sponsors that align with DAT's international, community-rooted mission.","3–5 hrs/month","flexible","FALSE","Volunteer","evergreen","","","FALSE","","/apply?opp=grant-research-volunteer","","5","","DAT's Development team can't read every RFP. The Grant Research Volunteer helps fill the gap — scanning foundations, government programs, and arts funding databases for opportunities that match our work. You'll submit a monthly research brief that the Development team uses to prioritize its grant calendar.","Research 3–5 new grant prospects per month using GrantStation, Foundation Directory, NEA, state arts councils, and other sources
Summarize each prospect in a short brief (eligibility, deadline, fit, notes)
Flag high-priority opportunities to the Development team
Maintain a running prospect tracker","Methodical and curious
Comfortable with database research
Interested in arts funding, nonprofit finance, or development as a field","18 years or older
Comfortable with online research
Basic spreadsheet skills
Reliable with monthly deadlines","Real development experience — your research shapes DAT's grant calendar
Portfolio of development research work
Direct briefings from DAT's Development team on strategy and priorities
Access to DAT's alumni and artistic network
Invitations to DAT events and donor convenings
Letter of reference available after consistent contribution","Rolling :: Join anytime","","info@dramaticadventure.com"
"data-crm-volunteer","Data / CRM Volunteer","volunteer","arts_admin,general","remote","Help DAT maintain clean, organized, and useful data across our donor, alumni, and participant databases. Ideal for someone with spreadsheet or CRM experience who wants to contribute with precision.","2–4 hrs/month","flexible","FALSE","Volunteer","evergreen","","","FALSE","","/apply?opp=data-crm-volunteer","","6","","Clean data is the unglamorous foundation of everything DAT does — from donor stewardship to alumni engagement to grant reporting. The Data/CRM Volunteer helps us maintain it: deduplicating records, updating contact information, tagging and segmenting, and flagging inconsistencies.","Audit and clean CRM records on a monthly basis
Update contact info, tags, and segmentation
Deduplicate alumni and donor records
Assist with data imports after events, campaigns, or program cycles
Flag systemic data issues to the Coordinator","Detail-oriented and careful
Comfortable with spreadsheets and CRMs
Not bothered by repetitive precision work","18 years or older
CRM or spreadsheet experience
Reliable with monthly tasks","Hands-on CRM and data management experience
Portfolio of data work for your professional profile
Access to DAT's team and network
Letter of reference available after consistent contribution","Rolling :: Join anytime","","info@dramaticadventure.com"
"program-recruitment-ambassador","Program Recruitment Ambassador","volunteer","community_engagement,general","remote","Help DAT find the next wave of ACTion participants, Drama Club students, PLX applicants, and traveling artists. Share opportunities in your community, on your campus, or through your professional network.","2–4 hrs/month","flexible","FALSE","Volunteer","evergreen","","","FALSE","","/apply?opp=program-recruitment-ambassador","","7","","DAT's programs fill from word of mouth. The Program Recruitment Ambassador formalizes that — sharing application deadlines, program descriptions, and personal recommendations with communities that should know about DAT's work. University contacts, community centers, arts organizations, theatre departments — your network is our pipeline.","Share DAT opportunity announcements with your network, on campus, or in your community
Identify organizations and institutions to add to DAT's outreach list
Post or share program deadlines on social media
Participate in a quarterly recruitment check-in call","Plugged into a community where DAT's programs would resonate
Enthusiastic about DAT's mission
Natural sharer","18 years or older
Active in a relevant community or institution","First look at new program announcements and season planning
Invitations to DAT events, salons, and convenings
Access to DAT's global alumni and artistic network
Recognition in program materials and DAT communications
Letter of reference available after consistent contribution","Rolling :: Join anytime","","info@dramaticadventure.com"
"travel-logistics-research-volunteer","Travel & Logistics Research Volunteer","volunteer","arts_admin,general","remote","Support DAT's producing team by researching housing, transport, visa requirements, venues, and logistics for upcoming expeditions and residencies.","Project-based (5–10 hrs per project)","flexible","FALSE","Volunteer","evergreen","","","FALSE","","/apply?opp=travel-logistics-research-volunteer","","8","","Planning an international theatre expedition requires a lot of ground-level research — housing options, local transport, visa requirements, cultural considerations, local contacts. The Travel & Logistics Research Volunteer helps our producing team build the picture before the decisions get made. Project-based, you'll be assigned specific research tasks with clear deliverables and deadlines.","Research housing options for a specific expedition (DAT typically houses 6–15 artists)
Map transport logistics — airport transfers, local travel, vehicle hire
Summarize visa requirements for a mixed-nationality ensemble
Identify potential local partners, venues, or service providers
Submit a structured research brief to the Managing Producer","Methodical, resourceful, comfortable with international research
May have experience with travel logistics, event production, or study abroad","18 years or older
Comfortable with online research in English and other languages (with tools)
Available for a 2–3 week project window","Real producing and logistics experience — your research directly informs DAT's field decisions
Portfolio of international logistics research
Insight into the actual infrastructure of international theatre-making
Access to DAT's alumni and artistic network
Invitations to field briefings and producing convenings
Letter of reference available after consistent contribution","Project-based :: Assigned as expedition planning windows open","","info@dramaticadventure.com"
"community-partner-liaison","Community Partner Liaison","volunteer","community_engagement,general","remote","Help DAT understand the community landscape in cities where we work. A connector role for people with strong local ties who want to support DAT’s relationship-building — without owning decisions.","2–5 hrs/month","flexible","FALSE","Volunteer","evergreen","","","FALSE","","/apply?opp=community-partner-liaison","","9","","DAT’s partnerships are the arteries of the organization — local drama clubs, community centers, universities, cultural organizations, arts agencies. The Community Partner Liaison helps us understand and navigate those landscapes in cities and regions where we work or plan to work. DAT staff own the formal relationship-building and any institutional commitments; the Liaison helps us see clearly. You know the landscape; we’ll give you the context.","Research and surface relevant organizations, venues, and community contacts in your hub
Attend local arts or community events and share what you learn with the DAT team
Keep a simple running log of promising relationships and local context
Pass along warm introductions between people in your network and DAT staff
Share occasional updates on the arts and community landscape in your region","Deeply embedded in your local arts, education, or community sector
A natural bridge-builder with a warm reputation
Patient with relationship timelines","18 years or older
Strong local network in a city or region relevant to DAT
Comfortable representing an organization in community settings","DAT community access and deep insight into our regional partnerships
Invitations to relevant DAT programs, events, and salons in your region
Access to DAT's global alumni and artistic network
Recognition in regional partnership materials
Letter of reference available after consistent contribution","Rolling :: Join anytime","","info@dramaticadventure.com"
"development-intern","Development Intern","plx","arts_admin,development","remote","Support DAT's fundraising and grant strategy. Research prospects, assist with grant writing, maintain donor records, and learn the craft of development inside a global arts nonprofit.","10 hrs/wk · 12 weeks","part-time","TRUE","Internship stipend; amount TBD","coming_soon","","2026–2027","FALSE","internship","/apply?opp=development-intern","/internships","10","","The Development Intern works alongside DAT's Development team to support grant research, writing, donor communications, and CRM maintenance. You'll learn the mechanics of arts fundraising from the inside — deadlines, relationships, the ask, the story.

DAT is rebuilding its paid capacity. This internship will be offered with a stipend target that we commit to sharing clearly before you accept. We also commit to making the learning real: you'll do actual grant work, not shadow work.

Ecuador-based candidates, especially in Quito, are strongly encouraged to apply. Bilingual Spanish/English candidates are especially welcome. This internship may connect to DAT's Ecuador development and hub-building work.","Research new grant and funding prospects
Assist in drafting grant narratives and reports
Maintain and clean the donor CRM
Draft donor acknowledgements and communications
Support annual-fund and campaign logistics
Participate in weekly Development team meetings","Interested in arts fundraising, nonprofit finance, or development as a career path
Strong writer, organized, deadline-driven
Curious about how theatre gets funded","18 years or older
Enrolled in or recently graduated from a degree program
Available 10 hrs/wk for 12 weeks
Reliable internet","Stipend (amount confirmed before acceptance; target TBD based on funding)
Academic credit may be possible
Direct mentorship from DAT's Development team and senior advisors
Portfolio of real grant research, donor materials, and development work
Access to DAT's global alumni and artistic network
Invitations to DAT donor events, salons, and artistic convenings
Priority consideration for future paid project or staff roles
Letter of recommendation after successful completion
Field access may be possible depending on program calendar and funding","Coming Soon :: Applications open when the internship cycle is confirmed; express interest now
Program Cycles :: Fall and Spring
Orientation :: Week 1 of program","Do I need fundraising experience? :: No. We'll teach you. Bring curiosity and a strong writing sample.","info@dramaticadventure.com"
"communications-storytelling-intern","Communications & Storytelling Intern","plx","arts_admin,marketing","remote","Help tell DAT's story across social media, the alumni platform, email, and editorial content. A great fit for writers, content creators, and aspiring communications professionals.","10 hrs/wk · 12 weeks","part-time","TRUE","Internship stipend; amount TBD","coming_soon","","2026–2027","FALSE","internship","/apply?opp=communications-storytelling-intern","/internships","11","","The Communications & Storytelling Intern works with DAT's Comms team to draft, produce, and publish content across social media, email, and the alumni storytelling platform. You'll write in DAT's voice, edit alumni stories, draft social copy, and help build the editorial calendar.

This internship will be offered with a stipend target confirmed before you accept. Scope is real — you'll have published bylines and portfolio work to show for it.

Bilingual Spanish/English candidates are especially encouraged. Ecuador-based and Quito-based candidates are strongly welcome — DAT's Ecuador programs generate rich story material and a growing bilingual content need.","Draft social media posts across IG, TikTok, and LinkedIn
Write and edit alumni stories for the storytelling platform
Assist with email newsletter drafts
Support content calendar maintenance
Conduct story interviews with alumni or participants (optional)
Contribute to campaign content as needed","A writer with a distinct voice
Comfortable in social media content creation
Genuinely curious about DAT's work and community
Detail-oriented about tone and accuracy","18 years or older
Writing sample required
Comfortable with social platforms
Reliable internet","Stipend (amount confirmed before acceptance; target TBD based on funding)
Published bylines on DAT's storytelling platform and communications channels
Academic credit may be possible
Portfolio of published pieces and social content
Direct mentorship from DAT's Communications & Story Lead
Access to DAT's global alumni and artistic network
Invitations to DAT events, salons, and field briefings
Priority consideration for future paid communications roles
Letter of recommendation after successful completion","Coming Soon :: Applications open when the internship cycle is confirmed; express interest now
Program Cycles :: Fall and Spring","","info@dramaticadventure.com"
"program-operations-intern","Program Operations Intern","plx","arts_admin","remote","Support the logistics and operations of DAT's programs — ACTion, Drama Clubs, PLX, and residencies. A great fit for aspiring producers and arts administrators who love the systems behind the work.","10 hrs/wk · 12 weeks","part-time","TRUE","Internship stipend; amount TBD","coming_soon","","2026–2027","FALSE","internship","/apply?opp=program-operations-intern","/internships","12","","The Program Operations Intern supports the producing and program team with the logistics that keep DAT's work moving — tracking timelines, managing documentation, coordinating communications, and supporting program delivery across multiple active projects.

This internship will be offered with a stipend target confirmed before you accept. Scope is hands-on — you'll own real producing tasks, not just observe.

Ecuador-based candidates are strongly encouraged. This internship may connect directly to DAT's Ecuador program coordination and hub-building work. Bilingual Spanish/English is a meaningful asset.","Maintain project trackers and documentation
Support logistics coordination for active programs
Assist with scheduling and communications across teams
Help with program enrollment and participant onboarding
Research tools, vendors, and logistics solutions as needed
Participate in weekly team meetings","Organized and proactive
Interested in arts administration, producing, or nonprofit management
Comfortable working across multiple projects simultaneously","18 years or older
Enrolled in or recently graduated from a degree program
Comfortable with project management tools (Notion, Asana, Google Workspace)
Reliable internet","Stipend (amount confirmed before acceptance; target TBD based on funding)
Academic credit may be possible
Hands-on producing and program management experience
Direct mentorship from DAT's Managing Producer and program team
Access to DAT's global alumni and artistic network
Invitations to DAT artistic convenings and field briefings
Priority consideration for future paid producing roles
Letter of recommendation after successful completion
Field access may be possible depending on program calendar and funding","Coming Soon :: Applications open when the internship cycle is confirmed; express interest now
Program Cycles :: Fall and Spring","","info@dramaticadventure.com"
"alumni-community-engagement-intern","Alumni & Community Engagement Intern","plx","community_engagement,arts_admin","remote","Help DAT stay connected to its global alumni community. Support outreach, events, the storytelling platform, and the relationships that keep the DAT network alive.","10 hrs/wk · 12 weeks","part-time","TRUE","Internship stipend; amount TBD","coming_soon","","2026–2027","FALSE","internship","/apply?opp=alumni-community-engagement-intern","/internships","13","","The Alumni & Community Engagement Intern supports DAT's relationship with its global alumni network — helping with outreach, event logistics, the alumni storytelling platform, and the communications that keep people connected to each other and to the organization.

This internship will be offered with a stipend target confirmed before you accept.

Ecuador-based candidates are especially encouraged. DAT has a rich community of Ecuador alumni, Drama Club families, and local collaborators who are a central part of this work. Bilingual Spanish/English is a meaningful asset.","Support alumni outreach campaigns and re-engagement efforts
Help maintain the alumni database and storytelling platform
Assist with community event logistics (virtual and NYC-based)
Conduct alumni check-in calls or surveys
Draft alumni communications and updates
Contribute to quarterly alumni newsletters","People-oriented, warm, and organized
Interested in community building, alumni relations, or nonprofit engagement
Comfortable doing outreach and relationship management","18 years or older
Enrolled in or recently graduated from a degree program
Comfortable with email outreach and CRM tools
Reliable internet","Stipend (amount confirmed before acceptance; target TBD based on funding)
Academic credit may be possible
Deep access to DAT's extraordinary global community
Direct mentorship from DAT's program and community engagement team
Access to DAT's alumni and artistic network
Invitations to alumni events, salons, and convenings
Priority consideration for future paid community or program roles
Letter of recommendation after successful completion","Coming Soon :: Applications open when the internship cycle is confirmed; express interest now
Program Cycles :: Fall and Spring","","info@dramaticadventure.com"
"digital-website-intern","Digital / Website Intern","plx","arts_admin,marketing","remote","Support the maintenance, updates, and improvement of DAT's digital properties — the main site, the alumni storytelling platform, and digital assets. A great fit for web-savvy students with an interest in arts and nonprofits.","10 hrs/wk · 12 weeks","part-time","TRUE","Internship stipend; amount TBD","coming_soon","","2026–2027","FALSE","internship","/apply?opp=digital-website-intern","/internships","14","","The Digital/Website Intern helps DAT's small team maintain and improve its digital presence. You might help update alumni profiles, fix small UX issues, improve page content, support SEO, or build simple reporting dashboards. This is a hands-on role for someone comfortable with web tools and willing to learn.","Help maintain and update website content and alumni profiles
Support small front-end improvements or content updates
Assist with digital asset organization
Research SEO and accessibility improvements
Build simple reporting tools or dashboards
Test and document bugs or UX issues","Web-comfortable — HTML/CSS, CMS tools, or basic Next.js experience welcome
Detail-oriented and methodical
Interested in arts, nonprofits, or digital storytelling","18 years or older
Comfortable with web basics
Experience with at least one CMS or web platform
Reliable internet","Stipend (amount TBD)
Academic credit available
Portfolio of live digital work
DAT alumni network access
Direct mentorship from DAT's technical and communications teams
Priority consideration for future paid digital roles
Letter of recommendation after successful completion","Coming Soon :: Applications open when the internship cycle is confirmed; express interest now
Program Cycles :: Fall and Spring","","info@dramaticadventure.com"
"production-intern","Production Intern","plx","arts_admin,designer","remote","Support the production logistics and documentation of DAT's active projects — from design coordination to schedules to production research. A great fit for aspiring production managers and all-around theatre-makers.","10 hrs/wk · 12 weeks","part-time","TRUE","Internship stipend; amount TBD","coming_soon","","2026–2027","FALSE","internship","/apply?opp=production-intern","/internships","15","","The Production Intern supports DAT's producing team with the technical and logistical work of mounting theatre in unusual places. You might research venue options in Slovakia, coordinate with a set designer in Ecuador, maintain a production calendar for a NYC performance, or help document a Drama Club residency. The work varies. The rigor doesn't.","Support production timelines and technical coordination across active projects
Research venues, equipment, and vendors for upcoming productions
Assist with production documentation — schedules, contact sheets, run-of-show
Help coordinate with designers and technical staff
Attend production and design meetings (remote)
Contribute to post-production documentation and wrap reports","Interested in production, stage management, or technical theatre
Organized, detail-oriented, calm under pressure
Genuinely curious about how theatre gets made in unconventional spaces","18 years or older
Background or coursework in theatre production, stage management, or technical theatre preferred
Comfortable with remote coordination and documentation tools","Stipend (amount TBD)
Academic credit available
Real production credits
DAT alumni network access
Direct mentorship from DAT's producing team
Priority consideration for future paid production roles
Letter of recommendation after successful completion","Coming Soon :: Applications open when the internship cycle is confirmed; express interest now
Program Cycles :: Fall and Spring","","info@dramaticadventure.com"
"research-dramaturgy-intern","Research & Dramaturgy Intern","plx","arts_admin,storyteller","remote","Support the dramaturgical and research needs of DAT's active productions and residencies. Dig into history, context, and source material to help DAT's artists make richer, more grounded work.","10 hrs/wk · 12 weeks","part-time","TRUE","Internship stipend; amount TBD","coming_soon","","2026–2027","FALSE","internship","/apply?opp=research-dramaturgy-intern","/internships","16","","The Research & Dramaturgy Intern works with DAT's artistic team to dig into the historical, cultural, and textual context of our current projects. For Slovakia 2026, this might mean researching Roma cultural history, Velvet Revolution theatre, and contemporary Czech civil society. For an Ecuador-based piece, it might mean indigenous Kichwa storytelling traditions. The work is specific; the stakes are real.","Conduct dramaturgical and contextual research for active productions
Compile and summarize research into accessible briefs for the artistic team
Identify relevant source texts, historical events, and cultural context
Support adaptation and script development research as needed
Contribute to the production's archive and documentation
Participate in regular artistic team check-ins","A researcher with intellectual rigor and genuine curiosity
Background in theatre studies, history, cultural studies, anthropology, or a related field
Comfortable with ambiguity and open-ended inquiry","18 years or older
Enrolled in or recently graduated from a relevant degree program
Strong research and writing skills
Comfortable working with primary and secondary sources
Reliable internet","Stipend (amount TBD)
Academic credit available
Dramaturgical credits on active productions
DAT alumni network access
Direct mentorship from DAT's artistic leadership
Access to DAT's alumni and artistic network
Priority consideration for future paid research or artistic roles
Letter of recommendation after successful completion","Coming Soon :: Applications open when the internship cycle is confirmed; express interest now
Program Cycles :: Fall and Spring","","info@dramaticadventure.com"
"producing-apprentice","Producing Apprentice","plx","arts_admin","remote","A 10-month producing apprenticeship for early-career arts administrators. Work alongside DAT's producing team, lead real projects, and gain deep hands-on experience in international theatre production.","20 hrs/wk · 10 months","part-time","TRUE","Stipend; amount TBD","coming_soon","","2026–2027","FALSE","apprenticeship","/apply?opp=producing-apprentice","/apprenticeships","20","","The Producing Apprentice is a core member of DAT's producing team for the season — owning a real portfolio of work, managing logistics, supporting productions across multiple hubs, and building a producing career from the inside out. This is not a shadow experience. You'll have responsibility, autonomy, and a team behind you.","Own a producing portfolio across one or more active DAT programs
Manage logistics for an ACTion expedition or residency
Lead coordination with artists, local partners, and vendors
Support the Managing Producer with timeline and budget tracking
Travel with DAT on at least one in-field expedition
Mentor PLX Interns in your department","1–3 years of producing, stage management, or arts admin experience
Action-oriented and resourceful
Comfortable with international logistics
Ready to take real ownership of real work","21 years or older
Available 20 hrs/wk for 10 months
Willing to travel internationally at least once
Reliable internet and communication tools
References from prior producing or arts admin work","Producing stipend (amount confirmed before acceptance; target TBD based on funding)
Real ownership of producing responsibilities — not a shadow experience
Professional title and production credits on DAT programs
Direct mentorship from DAT's Managing Producer, Artistic Director, and senior advisors
Training in arts administration, international producing, fundraising, and cross-cultural collaboration
Access to DAT's global alumni and artistic network
Invitations to DAT salons, donor events, artistic convenings, and field briefings
Priority consideration for future paid producing roles
Letter of recommendation after successful completion
Field travel may be available when aligned with program needs and funding; travel is discussed before engagement and is not a substitute for agreed compensation
Ecuador-based candidates are strongly encouraged — this apprenticeship may connect to DAT's Ecuador program coordination and hub-building work","Coming Soon :: Applications open when the apprenticeship cycle is confirmed; express interest now
Program Cycles :: Fall intake
Field Travel :: May be available within program year, subject to project calendar and funding","","info@dramaticadventure.com"
"teaching-artist-apprentice","Teaching Artist Apprentice","plx","teaching_artist,community_engagement","remote","A 10-month apprenticeship for artists developing their teaching practice. Co-lead Drama Club sessions, design curriculum, and build your pedagogy inside a community-engaged theatre company.","20 hrs/wk · 10 months","part-time","TRUE","Stipend; amount TBD","coming_soon","","2026–2027","FALSE","apprenticeship","/apply?opp=teaching-artist-apprentice","/apprenticeships","21","","The Teaching Artist Apprentice works with DAT's education team to develop their practice — co-leading Drama Club sessions, designing curriculum, learning DAT's devising and storytelling pedagogy, and eventually leading sessions independently. This apprenticeship builds a strong foundation for a career as a community-engaged teaching artist.","Co-lead DAT Drama Club sessions with a mentor teaching artist
Design and test curriculum for youth and community settings
Develop your personal teaching artist statement and toolkit
Lead at least one independent session per semester
Participate in teaching artist training workshops
Travel to or observe at least one international residency","An artist with a genuine interest in teaching, community, and pedagogy
Patient, warm, and energized by working with young people and communities
In the early stages of your teaching artist career","21 years or older
Background as a performer, director, musician, or teaching artist
Available 20 hrs/wk for 10 months
Willing to travel for at least one residency observation","Stipend (amount confirmed before acceptance; target TBD based on funding)
Real teaching artistry responsibility — you lead sessions, not shadow them
Professional title and program credits
Direct mentorship from DAT's Teaching Artists and Artistic Director
Training in community-engaged theatre, devising, and cross-cultural facilitation
Access to DAT's global alumni and artistic network
Invitations to DAT artistic convenings, field briefings, and community events
Priority consideration for future paid teaching artist and Drama Club roles
Letter of recommendation after successful completion
Field travel may be available when aligned with program needs and funding; travel is discussed before engagement","Coming Soon :: Applications open when the apprenticeship cycle is confirmed; express interest now
Program Cycles :: Fall intake","","info@dramaticadventure.com"
"community-engagement-apprentice","Community Engagement Apprentice","plx","community_engagement,arts_admin","remote","A 10-month apprenticeship for practitioners building community-engagement and partnership skills. Work alongside DAT's program team to build, deepen, and document community relationships across DAT's active hubs.","20 hrs/wk · 10 months","part-time","TRUE","Stipend; amount TBD","coming_soon","","2026–2027","FALSE","apprenticeship","/apply?opp=community-engagement-apprentice","/apprenticeships","22","","The Community Engagement Apprentice builds DAT's relationships with communities — facilitating listening sessions, managing partner communications, supporting local producers, and helping translate DAT's mission into local partnerships that are authentic and equitable. This apprenticeship is for someone who wants to make community engagement a craft, not a checkbox.","Manage communications with community partners in one or more DAT hubs
Co-facilitate community listening sessions and workshops
Support local producers and community liaisons
Develop and maintain a partner relationship log
Contribute to EDI training and equity audits of DAT programs
Travel to at least one in-field community engagement residency","Deeply committed to equitable, community-rooted practice
A thoughtful listener and communicator
Background in community organizing, social work, education, or arts-based community work","21 years or older
Experience in community engagement, organizing, or related field
Available 20 hrs/wk for 10 months
Willing to travel for at least one residency","Community engagement stipend (amount confirmed before acceptance; target TBD based on funding)
Real community engagement responsibility — you own relationships, not just logistics
Professional title and program credits
Direct mentorship from DAT's program and community engagement leadership
Formal training in community-engaged theatre, cross-cultural collaboration, and arts facilitation
Access to DAT's global alumni and artistic network
Invitations to DAT artistic convenings, field briefings, and community events
Priority consideration for future paid community engagement and program roles
Letter of recommendation after successful completion
Field travel may be available when aligned with program needs and funding; travel is discussed before engagement and is not a substitute for agreed compensation
Ecuador-based and Quito-based candidates are especially encouraged — this apprenticeship may connect directly to DAT's Ecuador community engagement and hub-building work","Coming Soon :: Applications open when the apprenticeship cycle is confirmed; express interest now
Program Cycles :: Fall intake","","info@dramaticadventure.com"
"stage-management-production-apprentice","Stage Management / Production Apprentice","plx","arts_admin,designer","remote","A 10-month apprenticeship for stage managers and production practitioners. Work across DAT's active productions — managing rehearsal processes, coordinating logistics, and building a career in international theatre production.","20 hrs/wk · 10 months","part-time","TRUE","Stipend; amount TBD","coming_soon","","2026–2027","FALSE","apprenticeship","/apply?opp=stage-management-production-apprentice","/apprenticeships","23","","The Stage Management/Production Apprentice works with DAT's producing team to manage the production logistics of active projects — calling rehearsals, building and maintaining schedules, coordinating with designers and technical staff, and serving as the operational spine of at least one production. You'll work in unusual spaces, across cultures, and often without a full technical infrastructure. If you bring rigor to the unexpected, we want to know about you.","Serve as stage manager or ASM on at least one active DAT production
Build and maintain production schedules, call sheets, and run-of-show documents
Coordinate with designers, technical staff, and artists
Manage rehearsal processes and communication flow
Travel in-field for at least one production
Mentor Production Interns","1–3 years of stage management or production experience
Precise, organized, and calm under pressure
Comfortable working in non-traditional and international settings","21 years or older
Demonstrated stage management or production experience
Available 20 hrs/wk for 10 months
Willing to travel internationally for at least one production","Stipend (amount confirmed before acceptance; target TBD based on funding)
Real stage management and production responsibility on active DAT programs
Professional SM and production credits
Direct mentorship from DAT's producing team and stage managers
Training in international production logistics and cross-cultural collaboration
Access to DAT's global alumni and artistic network
Priority consideration for future paid stage management and production roles
Letter of recommendation after successful completion
Field travel may be available when aligned with program needs and funding; travel is discussed before engagement and is not a substitute for agreed compensation","Coming Soon :: Applications open when the apprenticeship cycle is confirmed; express interest now
Program Cycles :: Fall intake
Production Credits :: Within program year","","info@dramaticadventure.com"
"documentation-apprentice","Documentation Apprentice","plx","arts_admin,marketing","remote","A 10-month apprenticeship for photographers, videographers, and documentary storytellers. Build DAT's archive while developing your documentary practice at the intersection of art, community, and theatre.","20 hrs/wk · 10 months","part-time","TRUE","Stipend; amount TBD","coming_soon","","2026–2027","FALSE","apprenticeship","/apply?opp=documentation-apprentice","/apprenticeships","24","","The Documentation Apprentice builds DAT's visual and narrative archive while developing their own documentary practice. You'll photograph, film, and narrate DAT's work — in rehearsal, in community, in the field — and work with the Comms team to shape that material into stories, reels, and a permanent institutional record.","Document active DAT productions, workshops, and community sessions
Build a visual archive for each project — photos, video, audio
Collaborate with the Comms team on content production for social and digital channels
Develop a personal documentary series about a DAT project or community
Travel in the field for at least one ACTion expedition or residency
Contribute to DAT's permanent institutional archive","A documentary photographer, videographer, or multimedia storyteller
Comfortable working in community and performance settings
Thoughtful about the ethics of documentation and representation","21 years or older
Portfolio of documentary photography or video required
Own equipment preferred (camera, audio tools)
Available 20 hrs/wk for 10 months
Willing to travel internationally","Documentation stipend (amount confirmed before acceptance; target TBD based on funding)
Published portfolio work — photos, video reels, written documentation — with DAT attribution
Real ownership of a documentary practice, not an assistant role
Professional title and documentation credits
Direct mentorship from DAT's Communications & Story Lead and Artistic Director
Training in documentary storytelling, arts communications, and cross-cultural content strategy
Access to DAT's global alumni and artistic network
Invitations to DAT convenings, field briefings, and artistic events
Priority consideration for future paid documentation and communications roles
Letter of recommendation after successful completion
Field travel may be available when aligned with program needs and funding; travel is discussed before engagement and is not a substitute for agreed compensation
Ecuador-based candidates are especially encouraged — DAT's Ecuador programs generate extraordinary documentary material","Coming Soon :: Applications open when the apprenticeship cycle is confirmed; express interest now
Program Cycles :: Fall intake
Field Documentation :: At least one program field period within program year, subject to project calendar and funding","","info@dramaticadventure.com"
